id,name,address,latitude,longitude,link_2gis,working_hours,tariff,spaces,paid_free
9429940001179723,"Орбита-3, автостоянка",,43.198342,76.877667,https://2gis.kz/almaty/firm/9429940001179723,,Не указано,Не указано,Не указано
70000001054874402,Парковка ТРК АДК,,43.232309,76.877023,https://2gis.kz/almaty/firm/70000001054874402,,Не указано,Не указано,Не указано
70000001054954379,Автостоянка,"улица Розыбакиева, 103в",43.231412,76.888939,https://2gis.kz/almaty/firm/70000001054954379,,Не указано,Не указано,Не указано
70000001032260963,"Кокжиек, автостоянка","микрорайон Кокжиек, 2/1",43.356069,76.918118,https://2gis.kz/almaty/firm/70000001032260963,,Не указано,Не указано,Не указано
70000001057445380,Парковка ТД Алтын — Тараз,"проспект Абылай хана, 3",43.272874,76.938395,https://2gis.kz/almaty/firm/70000001057445380,,Не указано,Не указано,Не указано
70030076861608325,Парковка,,43.257023,76.932588,https://2gis.kz/almaty/firm/70030076861608325,,Не указано,Не указано,Не указано
70000001092847032,Платная парковка,,43.344716,77.011785,https://2gis.kz/almaty/firm/70000001092847032,,Не указано,Не указано,Не указано
70000001054917484,Парковка аэропорта Алматы,,43.346549,77.01112,https://2gis.kz/almaty/firm/70000001054917484,,Не указано,Не указано,Не указано
70000001057443788,Автостоянка,"улица Карасай батыра, 152Б",43.248467,76.906176,https://2gis.kz/almaty/firm/70000001057443788,,Не указано,Не указано,Не указано
70000001089994206,"Parking, парковка",,43.21847,76.842083,https://2gis.kz/almaty/firm/70000001089994206,,Не указано,Не указано,Не указано
9429940001288516,"Маржан Н., автостоянка","улица Уалиханова, 49",43.261635,76.95065,https://2gis.kz/almaty/firm/9429940001288516,,Не указано,Не указано,Не указано
70000001110906180,Парковка БЦ Нурлы Тау,,43.232423,76.945307,https://2gis.kz/almaty/firm/70000001110906180,,Не указано,Не указано,Не указано
70000001054917623,Парковка ТРЦ Достык Плаза,,43.232729,76.956713,https://2gis.kz/almaty/firm/70000001054917623,,Не указано,Не указано,Не указано
70000001054875981,Парковка ТРЦ Ритц-Палас,,43.228294,76.959928,https://2gis.kz/almaty/firm/70000001054875981,,Не указано,Не указано,Не указано
70000001057445211,Парковка ТРК Mega Center Alma-Ata,,43.202048,76.893458,https://2gis.kz/almaty/firm/70000001057445211,,Не указано,Не указано,Не указано
9430047375177008,"улица Макатаева, 45/1","улица Макатаева, 45/1",43.265458,76.955599,https://2gis.kz/almaty/firm/9430047375177008,,Не указано,Не указано,Не указано
70000001054917224,Парковка ТРК Глобус,,43.240032,76.905234,https://2gis.kz/almaty/firm/70000001054917224,,Не указано,Не указано,Не указано
9429940000791465,Автостоянка №26,"улица Толе би, 287г",43.244332,76.849427,https://2gis.kz/almaty/firm/9429940000791465,,Не указано,Не указано,Не указано
70000001110950049,"Almaty Parking, парковка №2043",,43.264954,76.941372,https://2gis.kz/almaty/firm/70000001110950049,,Не указано,Не указано,Не указано
